Day,Month,Year,Flowrate
19,3,1962,89.43
20,3,1962,84.05
21,3,1962,80.09
22,3,1962,84.62
23,3,1962,83.2
24,3,1962,58.86
25,3,1962,63.39
26,3,1962,91.41
27,3,1962,92.26
28,3,1962,90.28
29,3,1962,107.3
30,3,1962,112.9
31,3,1962,81.79
1,4,1962,84.05
2,4,1962,113.5
3,4,1962,146.3
4,4,1962,136.7
5,4,1962,152.3
6,4,1962,141.2
7,4,1962,137.8
8,4,1962,146.3
9,4,1962,141.8
10,4,1962,142.9
11,4,1962,151.1
12,4,1962,149.4
13,4,1962,135
14,4,1962,150.6
15,4,1962,98.77
16,4,1962,113.5
17,4,1962,103.9
18,4,1962,119.1
19,4,1962,147.7
20,4,1962,172.6
21,4,1962,159.3
22,4,1962,120.6
23,4,1962,141.2
24,4,1962,114.3
25,4,1962,99.62
26,4,1962,112.9
27,4,1962,106.7
28,4,1962,75
29,4,1962,66.79
30,4,1962,73.3
1,5,1962,71.88
2,5,1962,66.51
3,5,1962,65.66
4,5,1962,61.98
5,5,1962,56.88
6,5,1962,54.9
7,5,1962,63.68
8,5,1962,69.05
9,5,1962,76.98
10,5,1962,83.2
11,5,1962,103.9
12,5,1962,83.2
13,5,1962,76.41
14,5,1962,65.37
15,5,1962,54.05
16,5,1962,87.73
17,5,1962,133.3
18,5,1962,122.5
19,5,1962,98.49
20,5,1962,90.56
21,5,1962,110.1
22,5,1962,109.5
23,5,1962,104.4
24,5,1962,95.94
25,5,1962,91.98
26,5,1962,73.02
27,5,1962,66.79
28,5,1962,76.13
29,5,1962,78.68
30,5,1962,75.28
31,5,1962,74.15
1,6,1962,71.6
2,6,1962,60.85
3,6,1962,60.28
4,6,1962,65.94
5,6,1962,67.35
6,6,1962,59.71
7,6,1962,54.9
8,6,1962,57.45
9,6,1962,53.49
10,6,1962,52.92
11,6,1962,54.62
12,6,1962,57.17
13,6,1962,58.3
14,6,1962,65.37
15,6,1962,51.22
16,6,1962,46.7
17,6,1962,46.13
18,6,1962,50.94
19,6,1962,63.96
20,6,1962,70.75
21,6,1962,69.9
22,6,1962,80.94
23,6,1962,82.07
24,6,1962,133.9
25,6,1962,128.5
26,6,1962,106.4
27,6,1962,103.6
28,6,1962,89.43
29,6,1962,80.09
30,6,1962,66.51
1,7,1962,62.26
2,7,1962,63.11
3,7,1962,61.41
4,7,1962,66.51
5,7,1962,64.81
6,7,1962,56.32
7,7,1962,55.47
8,7,1962,51.79
9,7,1962,54.62
10,7,1962,52.36
11,7,1962,57.73
12,7,1962,58.3
13,7,1962,50.94
14,7,1962,48.68
15,7,1962,43.58
16,7,1962,45.85
17,7,1962,45.28
18,7,1962,47.55
19,7,1962,69.34
20,7,1962,62.26
21,7,1962,70.19
22,7,1962,79.81
23,7,1962,63.96
24,7,1962,57.17
25,7,1962,54.05
26,7,1962,52.92
27,7,1962,47.83
28,7,1962,46.7
29,7,1962,48.11
30,7,1962,61.41
31,7,1962,60.28
1,8,1962,55.19
2,8,1962,57.17
3,8,1962,65.94
4,8,1962,82.92
5,8,1962,79.81
6,8,1962,87.17
7,8,1962,91.13
8,8,1962,83.77
9,8,1962,105.3
10,8,1962,126.2
11,8,1962,167
12,8,1962,180.3
13,8,1962,136.1
14,8,1962,130.7
15,8,1962,135.6
16,8,1962,227.5
17,8,1962,250.5
18,8,1962,146
19,8,1962,104.4
20,8,1962,58.3
21,8,1962,149.7
22,8,1962,167
23,8,1962,146.9
24,8,1962,156.2
25,8,1962,165.6
